구군명,총계,총계(남),총계(여),결혼이민자,결혼이민자(남),결혼이민자(여),결혼이민자_국적미취득자,결혼이민자_국적미취득자(남),결혼이민자_국적미취득자(여),결혼이민자_국적취득자,결혼이민자_국적취득자(남),결혼이민자_국적취득자(여),자녀,자녀(남),자녀(여),
중구,405 ,130 ,275 ,255 ,50 ,205 ,138 ,22 ,116 ,117 ,28 ,89 ,150 ,80 ,70 ,
서구,827 ,249 ,578 ,463 ,65 ,398 ,227 ,29 ,198 ,236 ,36 ,200 ,364 ,184 ,180 ,
동구,942 ,309 ,633 ,539 ,98 ,441 ,252 ,43 ,209 ,287 ,55 ,232 ,403 ,211 ,192 ,
영도구,1073 ,319 ,754 ,554 ,59 ,495 ,253 ,30 ,223 ,301 ,29 ,272 ,519 ,260 ,259 ,
부산진구,2383 ,734 ,1649 ,1262 ,160 ,1102 ,673 ,101 ,572 ,589 ,59 ,530 ,1121 ,574 ,547 ,
동래구,1344 ,414 ,930 ,685 ,87 ,598 ,366 ,56 ,310 ,319 ,31 ,288 ,659 ,327 ,332 ,
남구,1856 ,590 ,1266 ,909 ,131 ,778 ,491 ,87 ,404 ,418 ,44 ,374 ,947 ,459 ,488 ,
북구,2197 ,688 ,1509 ,1087 ,118 ,969 ,499 ,60 ,439 ,588 ,58 ,530 ,1110 ,570 ,540 ,
해운대구,2839 ,1071 ,1768 ,1450 ,355 ,1095 ,875 ,274 ,601 ,575 ,81 ,494 ,1389 ,716 ,673 ,
사하구,3225 ,971 ,2254 ,1721 ,204 ,1517 ,845 ,114 ,731 ,876 ,90 ,786 ,1504 ,767 ,737 ,
금정구,1485 ,485 ,1000 ,790 ,125 ,665 ,397 ,68 ,329 ,393 ,57 ,336 ,695 ,360 ,335 ,
강서구,1396 ,449 ,947 ,715 ,126 ,589 ,409 ,84 ,325 ,306 ,42 ,264 ,681 ,323 ,358 ,
연제구,1121 ,366 ,755 ,550 ,79 ,471 ,302 ,49 ,253 ,248 ,30 ,218 ,571 ,287 ,284 ,
수영구,1260 ,448 ,812 ,674 ,163 ,511 ,416 ,120 ,296 ,258 ,43 ,215 ,586 ,285 ,301 ,
사상구,2868 ,845 ,2023 ,1551 ,202 ,1349 ,742 ,136 ,606 ,809 ,66 ,743 ,1317 ,643 ,674 ,
기장군,1587 ,519 ,1068 ,835 ,130 ,705 ,455 ,81 ,374 ,380 ,49 ,331 ,752 ,389 ,363 ,
